date,title,amount
2025-07-19,Concret*Progresso Kali,11.54
2025-07-19,Concret*Progresso Kali,5.40
2025-07-18,Nosso Pao Delicatess,36.89
2025-07-18,Concret*Progresso Kali,13.45
2025-07-17,Economart,81.28
2025-07-17,Pague Menos,17.95
2025-07-17,Nosso Pao Delicatess,20.48
2025-07-16,Carloseduardo,34.37
2025-07-15,Subadq *A Arnaldo Supe,13.00
2025-07-15,Cantina Csa,65.33
2025-07-14,Farmaciapedreira,15.00
2025-07-14,Subadq *A Arnaldo Supe,155.29
2025-07-13,53943441jeorge,37.90
2025-07-12,53943441jeorge,15.80
2025-07-12,Kanto do Pao,39.43
2025-07-12,Mp *Padaria,8.00
2025-07-11,Padoca,10.28
2025-07-11,Concret*Progresso Kali,13.05
2025-07-11,Pague Menos,29.25
2025-07-10,Carloseduardo,13.00
2025-07-10,Posto Kalilandia 1-She,212.14
2025-07-10,Concret*Progresso Kali,11.41
2025-07-10,Kanto do Pao,27.24
2025-07-09,Sms Estacionamentos e,30.00
2025-07-09,Nova Farmacia do Tra,15.99
2025-07-08,Fernandomarquesde,36.00
2025-07-08,Frutimana,21.76
2025-07-07,Economart,111.22
2025-07-07,Farmacia Caroa - Parcela 1/2,55.49
2025-07-07,Cinesercla Avenida,75.00
2025-07-07,Pague Menos,82.56
2025-07-05,Lojas Le Biscuit,57.46
2025-07-05,Paggue,19.38
2025-07-04,Paggue,7.71
2025-07-02,Economart,1327.46
2025-07-02,Cantina Csa,13.98
2025-07-01,B P Dias Comercio de A,27.30
2025-07-01,Cantina Csa,28.06
2025-07-01,Sthefanydejesus,44.60
2025-07-01,Pague Menos,90.48
2025-06-30,Sthefanydejesus,20.00
2025-06-30,53943441jeorge,19.60
2025-06-30,Cantina Csa,76.19
2025-06-30,Stop Nil,174.00
2025-06-29,Kanto do Pao,27.20
2025-06-29,53943441jeorge,11.90
2025-06-28,Cantina Csa,21.30
2025-06-27,Pagamento recebido,-6606.74
2025-06-27,Paggue,14.57
2025-06-27,53943441jeorge,9.00
2025-06-26,Pague Menos,35.81
2025-06-26,Arnaldo Supermercados,8.99
2025-06-24,Farmaciapedreira,25.00
2025-06-24,Economart,625.27
2025-06-24,53943441jeorge,19.70
2025-06-23,Wp Inst*Pizzaria Tio M,72.90
2025-06-23,Posto Gasauto Noide,147.77
2025-06-22,53943441jeorge,7.50
2025-06-22,Antoniovinicius,25.00
2025-06-22,Cantina Csa,19.99
2025-06-22,Cantina Csa,73.86
2025-06-21,Kanto do Pao,40.86
2025-06-21,Fernandomarquesde,59.48
2025-06-20,Bora Tickets - Parcela 3/3,93.33
2025-06-20,Cantina Csa,47.10
2025-06-20,Pamonharia Tradicao,36.00
