date,title,amount
2025-09-19,Recanto do Sertao,26.41
2025-09-19,Cantina Csa,41.35
2025-09-19,Farmacia Mega Vida,46.98
2025-09-19,53943441jeorge,12.40
2025-09-18,Carloseduardo,26.83
2025-09-18,53943441jeorge,25.45
2025-09-18,Kanto do Pao,40.79
2025-09-17,Posto Kalilandia 1-She,50.00
2025-09-17,Economart,137.84
2025-09-17,Farmacia Brito,73.02
2025-09-16,Carloseduardo,47.80
2025-09-16,53943441jeorge,27.50
2025-09-16,Kanto do Pao,115.20
2025-09-16,Cantina Csa,59.83
2025-09-16,Pague Menos - Parcela 1/3,42.66
2025-09-16,Kairos Delicatessen,22.86
2025-09-16,Frutimana,12.69
2025-09-15,Kanto do Pao,104.44
2025-09-14,53943441jeorge,9.00
2025-09-14,Hiper Frutas,2.71
2025-09-14,Top Carnes,28.65
2025-09-14,Recanto do Sertao,16.42
2025-09-14,Cantina Csa,47.92
2025-09-14,53943441jeorge,3.00
2025-09-13,Top Carnes,45.00
2025-09-13,Arnaldo Supermercados,73.06
2025-09-13,Arnaldo Supermercados,23.71
2025-09-13,53943441jeorge,5.00
2025-09-13,53943441jeorge,29.00
2025-09-13,Arnaldo Supermercados,5.99
2025-09-12,Uber* Trip,13.73
2025-09-12,Incardio Especialidade,29.00
2025-09-12,Fs2-Feira de Santana D,3.00
2025-09-12,Concret*Progresso Kali,26.49
2025-09-12,Fs2-Feira de Santana D,23.50
2025-09-12,Cliort,29.00
2025-09-11,Cantina Csa,29.97
2025-09-11,Economart,136.81
2025-09-10,Kanto do Pao,91.12
2025-09-10,Le Biscuit - Parcela 1/3,55.33
2025-09-10,Farmacia Mega Vida,45.00
2025-09-09,Cappta *Gourmet Food A,53.34
2025-09-08,53943441jeorge,4.50
2025-09-08,Carloseduardo,83.00
2025-09-08,la France,79.83
2025-09-08,Kanto do Pao,65.07
2025-09-08,Show de Preco,49.79
2025-09-07,53943441jeorge,20.90
2025-09-07,Cantina Csa,44.30
2025-09-06,Cantina Csa,43.40
2025-09-06,Concret*Progresso Kali,25.80
2025-09-05,Carloseduardo,45.00
2025-09-05,53943441jeorge,30.50
2025-09-05,Concret*Progresso Kali,8.23
2025-09-05,Kanto do Pao,8.60
2025-09-05,Concret*Progresso Kali,11.52
2025-09-05,Arnaldo Supermercados,28.95
2025-09-04,Concret*Progresso Kali,6.00
2025-09-04,Concret*Progresso Kali,8.03
2025-09-03,Mp *Padaria,12.50
2025-09-03,Cantina Csa,30.16
2025-09-03,Posto Kalilandia 1-She,225.73
2025-09-02,Uber Uber *Trip Help.U,13.81
2025-09-01,Pague Menos,51.76
2025-09-01,Economart,650.11
2025-09-01,Cantina Csa,44.69
2025-08-31,Cantina Csa,12.62
2025-08-31,Recanto do Sertao,35.16
2025-08-31,Concret*Progresso Kali,3.99
2025-08-31,Carloseduardo,34.00
2025-08-31,Lojas Americanas,32.67
2025-08-31,Shoppingfeirade,11.00
2025-08-31,Farmaciamegavida,17.50
2025-08-31,Cea Fei 495 Ecpc - Parcela 1/2,65.00
2025-08-31,Concret*Progresso Kali,43.66
2025-08-30,Nosso Pao Delicatess,19.54
2025-08-30,53943441jeorge,9.00
2025-08-30,Concret*Progresso Kali,21.93
2025-08-29,Top Carnes,43.13
2025-08-29,Pagamento recebido,-2001.00
2025-08-29,Farmacias da Economia,17.85
2025-08-29,Juros de dívida encerrada,12.76
2025-08-29,IOF de rotativo,12.76
2025-08-29,Encerramento de dívida,-12.76
2025-08-29,Concret*Progresso Kali,7.73
2025-08-29,Carloseduardo,10.00
2025-08-29,53943441jeorge,36.00
2025-08-28,B P Dias Comercio de A - Parcela 1/2,73.00
2025-08-28,Arnaldo Supermercados,47.76
2025-08-28,Cantina Csa,61.45
2025-08-28,Ifd*Ifood Club,5.95
2025-08-28,Farmacia Brito,59.91
2025-08-27,Economart,167.71
2025-08-27,Concret*Progresso Kali,12.14
2025-08-27,Concret*Progresso Kali,26.81
2025-08-27,Saldo em rotativo,2000.12
2025-08-27,Crédito de rotativo,-2000.12
2025-08-26,Pagamento recebido,-3483.02
2025-08-26,53943441jeorge,14.20
2025-08-26,Reobote Comercio e Ser,135.00
2025-08-25,Pague Menos,32.84
2025-08-25,Kanto do Pao,35.64
2025-08-25,Subadq *A Arnaldo Supe,48.62
2025-08-24,Jm Avenida,47.00
2025-08-24,Cantina Csa,29.75
2025-08-24,Yutaka Comida Japone,51.75
2025-08-24,Maria Bijoux,55.00
2025-08-24,Concret*Progresso Kali,52.43
2025-08-23,Nosso Pao Delicatess,22.45
2025-08-23,Carloseduardo,132.94
2025-08-23,Nosso Pao Delicatess,10.50
2025-08-23,Centraldosabor,18.20
