date,title,amount
2025-12-18,53943441jeorge,19.40
2025-12-18,53943441jeorge,12.30
2025-12-18,Pagamento recebido,-4000.00
2025-12-18,Estorno de juros da dívida encerrada,-103.87
2025-12-18,Estorno de juros de rotativo,-103.87
2025-12-18,Encerramento de dívida,103.87
2025-12-18,Economart,10.69
2025-12-17,B P Dias Comercio de A,11.15
2025-12-17,Nosso Pao Delicatess,15.60
2025-12-17,Farmacia Brito,23.98
2025-12-17,Cantina Csa,26.79
2025-12-17,53943441jeorge,6.00
2025-12-17,53943441jeorge,12.00
2025-12-17,IOF de rotativo,21.64
2025-12-17,Juros de rotativo,350.15
2025-12-16,Carloseduardo,34.84
2025-12-16,Nosso Pao Delicatess,26.71
2025-12-15,Farmacias da Economia,18.48
2025-12-15,Jim.Com* 60747962 Val,35.90
2025-12-15,Adega Distribuidora,5.00
2025-12-15,Dona Menina - Parcela 1/3,91.00
2025-12-14,Concret*e Santos Come,37.04
2025-12-14,53943441jeorge,3.00
2025-12-14,Economart,151.37
2025-12-13,Pague Menos,51.43
2025-12-13,Uber - NuPay,9.69
2025-12-13,Concret*e Santos Come,13.42
2025-12-13,Concret*e Santos Come,11.37
2025-12-13,Zoho-Workplace,75.00
2025-12-13,Cantina Csa,12.52
2025-12-12,Geu Frutas,12.73
2025-12-12,Kanto do Pao,22.64
2025-12-11,Posto Astec,35.00
2025-12-10,Economart,963.56
2025-12-10,Posto Gasauto Noide,217.26
2025-12-09,Pague Menos,105.00
2025-12-09,Kanto do Pao,85.73
2025-12-08,Carloseduardo,179.66
2025-12-08,53943441jeorge,25.25
2025-12-08,Mp *Kabanasmusic,114.84
2025-12-08,Carloseduardo,19.53
2025-12-08,Kanto do Pao,51.66
2025-12-07,Farmacia Brito - Parcela 1/3,72.55
2025-12-07,Churros Mania,14.00
2025-12-07,Cantina Csa,53.49
2025-12-07,53943441jeorge,12.00
2025-12-06,Kanto do Pao,62.75
2025-12-06,Arnaldo Supermercados,9.97
2025-12-06,53943441jeorge,30.40
2025-12-05,Kanto do Pao,39.01
2025-12-05,Le Biscuit,30.97
2025-12-05,Nosso Pao Delicatess,43.20
2025-12-05,Pague Menos,53.83
2025-12-05,Geu Frutas,10.14
2025-12-05,Concret*e Santos Come,14.53
2025-12-05,Farmacia Mega Vida,51.99
2025-12-04,Cantina Csa,29.72
2025-12-04,53943441jeorge,15.10
2025-12-03,Kairos Delicatessen,21.07
2025-12-03,Cantina Csa,1.95
2025-12-03,Cantina Csa,38.37
2025-12-03,Cantina Csa,6.62
2025-12-02,Carloseduardo,86.89
2025-12-02,Kanto do Pao,32.84
2025-12-02,Kanto do Pao,46.55
2025-12-02,Concret*Progresso Sty,34.98
2025-12-01,Jim.Com* 60747962 Val,15.00
2025-12-01,Cantina Csa,11.35
2025-12-01,53943441jeorge,6.50
2025-12-01,Adega Distribuidora,14.15
2025-12-01,Boi Gordo,58.23
2025-12-01,Pague Menosa,20.29
2025-11-30,Make Biju 2025 Fs - Parcela 1/2,56.45
2025-11-30,Lojas Americanas,67.93
2025-11-30,Le Biscuit,29.97
2025-11-30,Shopping Iguatemi,9.00
2025-11-30,Iap Cosmeticos,53.45
2025-11-30,Pagamento recebido,-1434.36
2025-11-30,Tribo do Quintal Brinq,58.00
2025-11-30,Shoppingfeirade,11.00
2025-11-29,Nosso Pao Delicatess,36.23
2025-11-29,Farmacia Brito,95.47
2025-11-29,Concret*e Santos Come,23.87
2025-11-29,Jessicahorranade,5.41
2025-11-29,Farmacia Brito - Parcela 1/3,97.35
2025-11-28,Economart,96.54
2025-11-28,Concret*e Santos Come,14.89
2025-11-28,Concret*e Santos Come,2.34
2025-11-27,Crédito de rotativo,-3434.36
2025-11-27,Saldo em rotativo,3434.36
2025-11-26,Salao Casal,110.00
2025-11-26,53943441jeorge,9.00
2025-11-26,Pague Menos,41.58
2025-11-24,Top Carnes,43.66
2025-11-24,53943441jeorge,26.00
2025-11-24,Economart,1145.18
2025-11-24,Cappta *A Arnaldo Supe,64.43
2025-11-24,Carloseduardo,150.25
2025-11-24,Kanto do Pao,3.45
2025-11-23,Kairos Delicatessen,14.57
2025-11-23,Posto Gasauto Noide,231.41
2025-11-23,Beleza Nolasco,280.00
2025-11-22,Pagamento recebido,-3112.00
2025-11-22,Concret*e Santos Come,16.32
2025-11-22,Cantina Csa,81.64
2025-11-22,Farmacia Brito - Parcela 1/3,48.88
2025-11-21,Cantina Csa,131.14
2025-11-21,Carloseduardo,27.00
2025-11-21,Jim.Com* Ingrid Franc - Parcela 1/2,93.00
2025-11-21,53943441jeorge,3.90
2025-11-20,Cea Fei 495 Ecpc - Parcela 2/3,79.98
2025-11-20,Farmacia Brito - Parcela 2/4,53.42
2025-11-20,Nosso Pao Delicatess,3.00
2025-11-20,Feira de Sant,23.08
2025-11-20,Jessicahorranade,22.37
2025-11-20,Nosso Pao Delicatess,57.32
2025-11-20,Farmacia Brito - Parcela 3/3,43.37
2025-11-20,Pague Menos - Parcela 3/3,47.82
2025-11-20,Mp *Farmanutri - Parcela 3/3,93.33
2025-11-20,Yutaka Comida Japone,94.15
